Code,Name,Short_Name
1,WESTERN,WESTERN
2,LAX CURRENT,LAX CUR
3,VALLEY,VALLEY
4,HOLLYWOOD,HOLLYWOOD
5,SOUTHERN,SOUTHERN
6,CENTRAL,CENTRAL
7,HPV,HPV
8,AIRPORT BACK,AIRPT BACK
9,BANDIT CAB TASK FORCE,BANDIT CAB
10,LAPD BACKLOG,LAPD BACK
11,VN AIRPORT,VN AIRPORT
12,PARK RANGERS,RANGERS
14,MARSHALLS OFFICE,MARSH OFF.
15,PUBLIC UTILITIES,PUB. UTIL.
16,ANIMAL REGULATION DEPARTMENT,ANIMAL REG
17,LASD - CITY ENFORCEMENT,LASD CTY E
18,CONVENTION CENTER,CNV CENTER
20,CALIFORNIA HIGHWAY PATROL,CHP
21,CALIFORNIA STATE POLICE,CA STATE P
22,CA PARKS & REC,CA PK & RE
34,GENERAL SERVICES DEPARTMENTÊ,G.S.D.
35,AMTRAK POLICE DEPT,AMTRAK
40,BUILDING AND SAFETY,BLDG & SAF
41,STREET USE INSPECTORS,STREET USE
44,LIBRARY - SECURITY FORCEÊ,LIBRARY
50,50 - DOT - HARBOR,DOT - HARB
51,51 - DOT - WESTERN,DOT - WEST
52,52 - DOT - WILSHIRE,DOT - WLSH
53,53 - DOT - VALLEY,DOT - VALY
54,54 - DOT - HOLLYWOOD,DOT - HLYW
55,55 - DOT - SOUTHERN,DOT - STHN
56,56 - DOT - CENTRAL,DOT - CNTL
57,57 - HABITUAL VIOLATORS,HAB VIOLS
58,58 - SPECIAL EVENTS,SPEC EVENT
59,59-DOT-DISABLED PLACARD TASK FORCE,DOT-PLACRD
60,60 - DOT - RESIDENTIAL TASK FORCE,DOT-RESIDT
61,61 - CORT METRO,CORT METRO
62,62 - CORT VALLEY,CORT VALLE
63,63 - EMERGENCY DETAIL,EME DETAIL
64,64-SPECIAL ENFORCEMEN-DOT HOLLYWOOD,SE HLYWD
65,65-SPECIAL ENFORCEMENT-DOT SOUTHERN,SE SOUTH
66,66 -SPECIAL ENFORCEMENT-DOT CENTRAL,SE CENTRAL
71,71 - METRO ABATEMENT,M ABATEMNT
72,72 - VALLEY ABATEMENT,V ABATEMNT
75,US FEDERAL PROTECTIVE SERV,US FED PS
80,D.O.T WESTERN,DOT - WEST
81,D.O.T. WILSHIRE,DOT - WILS
82,D.O.T. VALLEY,DOT-VALLEY
83,D.O.T. HOLLYWOOD,DOT-HLYWOD
84,D.O.T. SOUTHERN,DOT-SOUTH
85,D.O.T. CENTRAL,DOT-CENTRL
86,HABITUAL VIOLS,HABIT VIOL
87,SPECIAL EVENTS,SPEC EVNTS
88,LAPD CURRENT,LAPD CURR
89,LAPD BACKLOG,LAPD BACK
90,AIRPORT CURRENT,AIRPT CURR
91,AIRPORT BACKLOG,AIRPT BACK
92,HARBOR,HARBOR
93,PARKS AND REC,PARKS/REC
94,FIRE DEPARTMENT,FIRE DEPT
95,HOUSING AUTHORITY,HOUSE AUTH
96,RANGERS,RANGERS
97,HOUSING DEPARTMENT,HOUSING DP
